# YHDA_VERSION=0.6.1
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=MAX_LOAD_UP
# STEP_NAME=Maksimum kapasite bölgesi — yük alma testi
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
0;216,000000;215,936658;216,000000;50,002622;1;1;0;1;0;0;1;1;1;8
1;216,000000;215,943792;216,000000;50,000687;1;1;0;1;0;0;1;1;1;8
2;216,000000;216,062476;216,000000;50,002286;1;1;0;1;0;0;1;1;1;8
3;216,000000;216,040813;216,000000;49,998349;1;1;0;1;0;0;1;1;1;8
4;216,000000;215,990668;216,000000;50,003584;1;1;0;1;0;0;1;1;1;8
5;216,000000;215,963329;216,000000;49,999377;1;1;0;1;0;0;1;1;1;8
6;216,000000;215,869589;216,000000;50,002523;1;1;0;1;0;0;1;1;1;8
7;216,000000;216,013426;216,000000;49,997890;1;1;0;1;0;0;1;1;1;8
8;216,000000;215,892276;216,000000;50,000101;1;1;0;1;0;0;1;1;1;8
9;216,000000;215,947208;216,000000;49,995470;1;1;0;1;0;0;1;1;1;8
10;216,000000;216,116199;216,000000;49,994769;1;1;0;1;0;0;1;1;1;8
11;216,000000;215,947641;216,000000;49,996518;1;1;0;1;0;0;1;1;1;8
12;216,000000;215,956956;216,000000;49,999486;1;1;0;1;0;0;1;1;1;8
13;216,000000;216,045022;216,000000;50,000624;1;1;0;1;0;0;1;1;1;8
14;216,000000;215,970603;216,000000;49,998476;1;1;0;1;0;0;1;1;1;8
15;216,000000;215,987370;216,000000;49,999948;1;1;0;1;0;0;1;1;1;8
16;216,000000;215,985067;216,000000;49,999587;1;1;0;1;0;0;1;1;1;8
17;216,000000;216,082013;216,000000;50,001755;1;1;0;1;0;0;1;1;1;8
18;216,000000;216,036679;216,000000;50,002526;1;1;0;1;0;0;1;1;1;8
19;216,000000;216,003777;216,000000;50,002462;1;1;0;1;0;0;1;1;1;8
20;216,000000;215,997359;216,000000;49,997225;1;1;0;1;0;0;1;1;1;8
21;216,000000;215,950370;216,000000;49,999604;1;1;0;1;0;0;1;1;1;8
22;216,000000;215,977808;216,000000;49,997975;1;1;0;1;0;0;1;1;1;8
23;216,000000;216,087806;216,000000;50,002081;1;1;0;1;0;0;1;1;1;8
24;216,000000;215,834464;216,000000;49,999312;1;1;0;1;0;0;1;1;1;8
25;216,000000;216,015798;216,000000;50,000021;1;1;0;1;0;0;1;1;1;8
26;216,000000;215,968984;216,000000;49,998889;1;1;0;1;0;0;1;1;1;8
27;216,000000;216,141272;216,000000;50,001948;1;1;0;1;0;0;1;1;1;8
28;216,000000;215,987950;216,000000;49,998969;1;1;0;1;0;0;1;1;1;8
29;216,000000;216,008120;216,000000;49,998243;1;1;0;1;0;0;1;1;1;8
30;240,000000;215,878325;216,000000;50,018987;1;1;0;1;0;0;1;1;1;8
31;240,000000;215,983697;216,000000;50,016829;1;1;0;1;0;0;1;1;1;8
32;240,000000;216,011977;216,000000;50,020811;1;1;0;1;0;0;1;1;1;8
33;240,000000;215,975549;216,000000;50,016620;1;1;0;1;0;0;1;1;1;8
34;240,000000;216,082987;240,000000;50,017356;1;1;0;1;0;0;1;1;1;8
35;240,000000;216,004467;240,000000;50,016326;1;1;0;1;0;0;1;1;1;8
36;240,000000;215,968159;240,000000;50,015820;1;1;0;1;0;0;1;1;1;8
37;240,000000;216,044571;240,000000;50,016271;1;1;0;1;0;0;1;1;1;8
38;240,000000;216,153024;240,000000;50,017080;1;1;0;1;0;0;1;1;1;8
39;240,000000;216,435078;240,000000;50,017969;1;1;0;1;0;0;1;1;1;8
40;240,000000;216,559202;240,000000;50,016356;1;1;0;1;0;0;1;1;1;8
41;240,000000;216,828410;240,000000;50,012970;1;1;0;1;0;0;1;1;1;8
42;240,000000;217,047050;240,000000;50,015260;1;1;0;1;0;0;1;1;1;8
43;240,000000;217,267711;240,000000;50,017357;1;1;0;1;0;0;1;1;1;8
44;240,000000;217,330796;240,000000;50,013353;1;1;0;1;0;0;1;1;1;8
45;240,000000;217,539693;240,000000;50,015553;1;1;0;1;0;0;1;1;1;8
46;240,000000;217,782603;240,000000;50,014815;1;1;0;1;0;0;1;1;1;8
47;240,000000;218,011461;240,000000;50,015306;1;1;0;1;0;0;1;1;1;8
48;240,000000;218,217659;240,000000;50,017084;1;1;0;1;0;0;1;1;1;8
49;240,000000;218,424843;240,000000;50,014219;1;1;0;1;0;0;1;1;1;8
50;240,000000;218,538656;240,000000;50,016002;1;1;0;1;0;0;1;1;1;8
51;240,000000;218,872362;240,000000;50,013527;1;1;0;1;0;0;1;1;1;8
52;240,000000;219,061626;240,000000;50,014510;1;1;0;1;0;0;1;1;1;8
53;240,000000;219,162775;240,000000;50,014892;1;1;0;1;0;0;1;1;1;8
54;240,000000;219,313825;240,000000;50,013979;1;1;0;1;0;0;1;1;1;8
55;240,000000;219,596356;240,000000;50,012805;1;1;0;1;0;0;1;1;1;8
56;240,000000;219,759803;240,000000;50,014384;1;1;0;1;0;0;1;1;1;8
57;240,000000;220,031886;240,000000;50,014360;1;1;0;1;0;0;1;1;1;8
58;240,000000;220,162964;240,000000;50,011383;1;1;0;1;0;0;1;1;1;8
59;240,000000;220,392232;240,000000;50,013397;1;1;0;1;0;0;1;1;1;8
60;240,000000;220,570234;240,000000;50,009294;1;1;0;1;0;0;1;1;1;8
61;240,000000;220,863750;240,000000;50,010090;1;1;0;1;0;0;1;1;1;8
62;240,000000;220,874257;240,000000;50,015383;1;1;0;1;0;0;1;1;1;8
63;240,000000;221,234187;240,000000;50,014224;1;1;0;1;0;0;1;1;1;8
64;240,000000;221,356544;240,000000;50,014973;1;1;0;1;0;0;1;1;1;8
65;240,000000;221,569710;240,000000;50,010159;1;1;0;1;0;0;1;1;1;8
66;240,000000;221,737326;240,000000;50,012424;1;1;0;1;0;0;1;1;1;8
67;240,000000;221,961306;240,000000;50,013787;1;1;0;1;0;0;1;1;1;8
68;240,000000;222,156633;240,000000;50,010356;1;1;0;1;0;0;1;1;1;8
69;240,000000;222,359474;240,000000;50,012838;1;1;0;1;0;0;1;1;1;8
70;240,000000;222,642240;240,000000;50,012332;1;1;0;1;0;0;1;1;1;8
71;240,000000;222,889290;240,000000;50,014070;1;1;0;1;0;0;1;1;1;8
72;240,000000;223,016887;240,000000;50,010988;1;1;0;1;0;0;1;1;1;8
73;240,000000;223,145997;240,000000;50,012605;1;1;0;1;0;0;1;1;1;8
74;240,000000;223,449921;240,000000;50,009684;1;1;0;1;0;0;1;1;1;8
75;240,000000;223,573389;240,000000;50,010567;1;1;0;1;0;0;1;1;1;8
76;240,000000;223,810771;240,000000;50,013028;1;1;0;1;0;0;1;1;1;8
77;240,000000;224,013592;240,000000;50,011107;1;1;0;1;0;0;1;1;1;8
78;240,000000;224,134440;240,000000;50,011200;1;1;0;1;0;0;1;1;1;8
79;240,000000;224,370039;240,000000;50,011207;1;1;0;1;0;0;1;1;1;8
80;240,000000;224,511112;240,000000;50,010853;1;1;0;1;0;0;1;1;1;8
81;240,000000;224,890848;240,000000;50,008974;1;1;0;1;0;0;1;1;1;8
82;240,000000;225,001554;240,000000;50,011896;1;1;0;1;0;0;1;1;1;8
83;240,000000;225,191214;240,000000;50,009325;1;1;0;1;0;0;1;1;1;8
84;240,000000;225,286541;240,000000;50,012157;1;1;0;1;0;0;1;1;1;8
85;240,000000;225,578603;240,000000;50,011895;1;1;0;1;0;0;1;1;1;8
86;240,000000;225,799664;240,000000;50,008041;1;1;0;1;0;0;1;1;1;8
87;240,000000;225,920005;240,000000;50,011069;1;1;0;1;0;0;1;1;1;8
88;240,000000;226,113802;240,000000;50,006055;1;1;0;1;0;0;1;1;1;8
89;240,000000;226,539401;240,000000;50,010172;1;1;0;1;0;0;1;1;1;8
90;240,000000;226,559320;240,000000;50,005289;1;1;0;1;0;0;1;1;1;8
91;240,000000;226,727536;240,000000;50,008969;1;1;0;1;0;0;1;1;1;8
92;240,000000;227,108724;240,000000;50,005868;1;1;0;1;0;0;1;1;1;8
93;240,000000;227,160144;240,000000;50,005994;1;1;0;1;0;0;1;1;1;8
94;240,000000;227,417086;240,000000;50,010210;1;1;0;1;0;0;1;1;1;8
95;240,000000;227,710545;240,000000;50,009595;1;1;0;1;0;0;1;1;1;8
96;240,000000;227,766819;240,000000;50,008891;1;1;0;1;0;0;1;1;1;8
97;240,000000;228,023967;240,000000;50,011906;1;1;0;1;0;0;1;1;1;8
98;240,000000;228,245096;240,000000;50,009456;1;1;0;1;0;0;1;1;1;8
99;240,000000;228,495466;240,000000;50,006792;1;1;0;1;0;0;1;1;1;8
100;240,000000;228,523689;240,000000;50,006804;1;1;0;1;0;0;1;1;1;8
101;240,000000;228,925459;240,000000;50,008841;1;1;0;1;0;0;1;1;1;8
102;240,000000;228,927795;240,000000;50,010138;1;1;0;1;0;0;1;1;1;8
103;240,000000;229,023144;240,000000;50,005450;1;1;0;1;0;0;1;1;1;8
104;240,000000;229,391113;240,000000;50,005389;1;1;0;1;0;0;1;1;1;8
105;240,000000;229,466700;240,000000;50,006673;1;1;0;1;0;0;1;1;1;8
106;240,000000;229,736523;240,000000;50,004950;1;1;0;1;0;0;1;1;1;8
107;240,000000;230,027375;240,000000;50,010138;1;1;0;1;0;0;1;1;1;8
108;240,000000;230,054152;240,000000;50,007170;1;1;0;1;0;0;1;1;1;8
109;240,000000;230,312454;240,000000;50,006221;1;1;0;1;0;0;1;1;1;8
110;240,000000;230,645083;240,000000;50,004312;1;1;0;1;0;0;1;1;1;8
111;240,000000;230,880854;240,000000;50,007553;1;1;0;1;0;0;1;1;1;8
112;240,000000;230,985645;240,000000;50,006821;1;1;0;1;0;0;1;1;1;8
113;240,000000;231,315663;240,000000;50,005748;1;1;0;1;0;0;1;1;1;8
114;240,000000;231,456172;240,000000;50,003558;1;1;0;1;0;0;1;1;1;8
115;240,000000;231,517262;240,000000;50,004092;1;1;0;1;0;0;1;1;1;8
116;240,000000;231,701403;240,000000;50,006144;1;1;0;1;0;0;1;1;1;8
117;240,000000;231,921800;240,000000;50,005278;1;1;0;1;0;0;1;1;1;8
118;240,000000;232,273156;240,000000;50,005046;1;1;0;1;0;0;1;1;1;8
119;240,000000;232,376638;240,000000;50,006665;1;1;0;1;0;0;1;1;1;8
120;240,000000;232,587073;240,000000;50,006074;1;1;0;1;0;0;1;1;1;8
121;240,000000;232,795593;240,000000;50,007476;1;1;0;1;0;0;1;1;1;8
122;240,000000;233,036922;240,000000;50,004366;1;1;0;1;0;0;1;1;1;8
123;240,000000;233,121290;240,000000;50,005680;1;1;0;1;0;0;1;1;1;8
124;240,000000;233,409340;240,000000;50,003505;1;1;0;1;0;0;1;1;1;8
125;240,000000;233,400256;240,000000;50,005001;1;1;0;1;0;0;1;1;1;8
126;240,000000;233,885718;240,000000;50,003604;1;1;0;1;0;0;1;1;1;8
127;240,000000;234,041851;240,000000;50,000824;1;1;0;1;0;0;1;1;1;8
128;240,000000;234,198160;240,000000;50,005256;1;1;0;1;0;0;1;1;1;8
129;240,000000;234,320850;240,000000;50,007647;1;1;0;1;0;0;1;1;1;8
130;240,000000;234,656549;240,000000;50,003705;1;1;0;1;0;0;1;1;1;8
131;240,000000;234,787621;240,000000;50,004865;1;1;0;1;0;0;1;1;1;8
132;240,000000;234,949075;240,000000;50,004919;1;1;0;1;0;0;1;1;1;8
133;240,000000;235,160922;240,000000;50,000132;1;1;0;1;0;0;1;1;1;8
134;240,000000;235,441810;240,000000;50,004184;1;1;0;1;0;0;1;1;1;8
135;240,000000;235,619589;240,000000;50,001365;1;1;0;1;0;0;1;1;1;8
136;240,000000;235,802909;240,000000;50,000703;1;1;0;1;0;0;1;1;1;8
137;240,000000;235,995433;240,000000;50,003881;1;1;0;1;0;0;1;1;1;8
138;240,000000;236,115756;240,000000;50,000262;1;1;0;1;0;0;1;1;1;8
139;240,000000;236,382563;240,000000;50,005627;1;1;0;1;0;0;1;1;1;8
140;240,000000;236,618489;240,000000;50,003933;1;1;0;1;0;0;1;1;1;8
141;240,000000;236,825916;240,000000;50,003967;1;1;0;1;0;0;1;1;1;8
142;240,000000;236,957174;240,000000;50,000233;1;1;0;1;0;0;1;1;1;8
143;240,000000;237,189311;240,000000;50,003451;1;1;0;1;0;0;1;1;1;8
144;240,000000;237,420406;240,000000;50,000122;1;1;0;1;0;0;1;1;1;8
145;240,000000;237,633845;240,000000;50,001247;1;1;0;1;0;0;1;1;1;8
146;240,000000;237,813271;240,000000;50,002102;1;1;0;1;0;0;1;1;1;8
147;240,000000;237,970107;240,000000;50,001248;1;1;0;1;0;0;1;1;1;8
148;240,000000;238,246993;240,000000;50,000341;1;1;0;1;0;0;1;1;1;8
149;240,000000;238,421597;240,000000;50,001629;1;1;0;1;0;0;1;1;1;8
150;240,000000;238,600866;240,000000;50,001190;1;1;0;1;0;0;1;1;1;8
151;240,000000;238,874881;240,000000;50,000062;1;1;0;1;0;0;1;1;1;8
152;240,000000;239,033804;240,000000;50,001415;1;0;0;1;0;0;1;1;1;8
153;240,000000;239,189727;240,000000;50,000883;1;0;0;1;0;0;1;1;1;8
154;240,000000;239,404258;240,000000;50,000102;1;0;0;1;0;0;1;1;1;8
155;240,000000;239,589320;240,000000;49,997091;1;0;0;1;0;0;1;1;1;8
156;240,000000;239,791161;240,000000;49,998944;1;0;0;1;0;0;1;1;1;8
157;240,000000;240,089941;240,000000;50,001261;1;0;0;1;0;0;1;1;1;8
158;240,000000;239,979072;240,000000;50,000889;1;0;0;1;0;0;1;1;1;8
159;240,000000;239,895144;240,000000;50,002486;1;0;0;1;0;0;1;1;1;8
160;240,000000;239,959327;240,000000;50,000555;1;0;0;1;0;0;1;1;1;8
161;240,000000;239,931294;240,000000;49,999056;1;0;0;1;0;0;1;1;1;8
162;240,000000;240,154852;240,000000;50,000036;1;0;0;1;0;0;1;1;1;8
163;240,000000;240,054842;240,000000;50,000767;1;0;0;1;0;0;1;1;1;8
164;240,000000;240,031730;240,000000;50,001294;1;0;0;1;0;0;1;1;1;8
165;240,000000;239,961535;240,000000;49,999134;1;0;0;1;0;0;1;1;1;8
166;240,000000;240,056547;240,000000;50,002285;1;0;0;1;0;0;1;1;1;8
167;240,000000;239,966916;240,000000;50,000535;1;0;0;1;0;0;1;1;1;8
168;240,000000;240,002254;240,000000;49,999471;1;0;0;1;0;0;1;1;1;8
169;240,000000;239,963514;240,000000;50,000316;1;0;0;1;0;0;1;1;1;8
170;240,000000;239,981211;240,000000;49,999279;1;0;0;1;0;0;1;1;1;8
171;240,000000;239,933864;240,000000;50,001022;1;0;0;1;0;0;1;1;1;8
172;240,000000;240,041504;240,000000;50,001124;1;0;0;1;0;0;1;1;1;8
173;240,000000;240,034952;240,000000;49,997648;1;0;0;1;0;0;1;1;1;8
174;240,000000;240,036470;240,000000;50,003178;1;0;0;1;0;0;1;1;1;8
175;240,000000;240,023519;240,000000;49,999730;1;0;0;1;0;0;1;1;1;8
176;240,000000;240,012068;240,000000;50,000862;1;0;0;1;0;0;1;1;1;8
177;240,000000;240,020721;240,000000;49,999428;1;0;0;1;0;0;1;1;1;8
178;240,000000;240,026399;240,000000;49,996155;1;0;0;1;0;0;1;1;1;8
179;240,000000;239,985583;240,000000;50,000140;1;0;0;1;0;0;1;1;1;8
180;240,000000;239,993354;240,000000;49,997751;1;0;0;1;0;0;1;1;1;8
181;240,000000;239,883731;240,000000;50,001771;1;0;0;1;0;0;1;1;1;8
182;240,000000;239,964309;240,000000;50,000085;1;0;0;1;0;0;1;1;1;8
183;240,000000;240,012613;240,000000;49,999228;1;0;0;1;0;0;1;1;1;8
184;240,000000;240,055042;240,000000;50,000226;1;0;0;1;0;0;1;1;1;8
185;240,000000;239,943788;240,000000;49,999346;1;0;0;1;0;0;1;1;1;8
186;240,000000;239,926269;240,000000;50,000534;1;0;0;1;0;0;1;1;1;8
187;240,000000;239,975294;240,000000;49,999522;1;0;0;1;0;0;1;1;1;8
188;240,000000;239,865216;240,000000;49,997163;1;0;0;1;0;0;1;1;1;8
189;240,000000;239,959359;240,000000;50,000216;1;0;0;1;0;0;1;1;1;8
