# YHDA_VERSION=0.7.0
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=MIN_LOAD_DOWN
# STEP_NAME=Minimum kapasite bölgesi — yük atma testi
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;214,000000;213,947162;214,000000;50,001981;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;214,000000;214,072761;214,000000;49,998989;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;214,000000;213,942479;214,000000;50,003192;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;214,000000;213,876143;214,000000;49,997926;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;214,000000;213,964874;214,000000;50,003627;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;214,000000;214,000279;214,000000;49,997324;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;214,000000;214,044498;214,000000;50,004458;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;214,000000;213,884700;214,000000;49,998669;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;214,000000;213,927474;214,000000;49,999244;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;214,000000;214,053330;214,000000;49,998722;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;214,000000;214,082154;214,000000;49,998641;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;214,000000;214,010221;214,000000;49,997655;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;214,000000;214,007744;214,000000;50,000254;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;214,000000;214,007621;214,000000;49,999752;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;214,000000;213,996522;214,000000;49,999091;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;214,000000;213,967000;214,000000;49,998833;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;214,000000;213,958005;214,000000;49,998142;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;214,000000;214,020751;214,000000;50,000841;1;1;0;1;0;0;1;1;1;8
