# YHDA_VERSION=0.7.2
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=MIN_LOAD_UP
# STEP_NAME=Minimum kapasite bölgesi — yük alma testi
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.2
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;190,000000;189,999988;190,000000;49,997873;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;190,000000;190,097983;190,000000;50,001679;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;190,000000;189,996072;190,000000;49,999460;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;190,000000;190,037636;190,000000;49,999595;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;190,000000;190,012736;190,000000;50,001627;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;190,000000;190,000462;190,000000;50,002090;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;190,000000;190,056516;190,000000;49,998116;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;190,000000;190,022710;190,000000;49,999296;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;190,000000;189,950421;190,000000;50,000851;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;190,000000;190,081530;190,000000;50,000771;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;190,000000;190,037299;190,000000;49,999165;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;190,000000;189,980291;190,000000;50,002532;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;190,000000;190,007264;190,000000;50,002432;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;190,000000;190,035261;190,000000;50,000481;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;190,000000;190,013613;190,000000;50,001125;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;190,000000;190,019750;190,000000;49,998492;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;190,000000;190,031786;190,000000;49,998819;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;190,000000;190,079287;190,000000;49,998541;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:18,0s;19;190,000000;190,005557;190,000000;49,999157;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:19,0s;20;190,000000;190,123142;190,000000;49,999339;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:20,0s;21;190,000000;189,939193;190,000000;50,000341;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:21,0s;22;190,000000;190,054121;190,000000;49,998053;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:22,0s;23;190,000000;189,989977;190,000000;50,000690;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:23,0s;24;190,000000;189,880943;190,000000;50,001414;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:24,0s;25;190,000000;190,009681;190,000000;49,998836;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:25,0s;26;190,000000;189,979097;190,000000;50,000424;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:26,0s;27;190,000000;190,027276;190,000000;49,999498;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:27,0s;28;190,000000;190,027237;190,000000;50,002518;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:28,0s;29;190,000000;190,002116;190,000000;49,998613;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:29,0s;30;190,000000;189,977289;190,000000;50,001241;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:30,0s;31;214,000000;190,046725;190,000000;50,016327;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:31,0s;32;214,000000;189,927436;190,000000;50,017548;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:32,0s;33;214,000000;189,977725;190,000000;50,016271;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:33,0s;34;214,000000;190,022425;190,000000;50,020460;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:34,0s;35;214,000000;190,014857;214,000000;50,015244;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:35,0s;36;214,000000;189,952669;214,000000;50,019642;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:36,0s;37;214,000000;189,900624;214,000000;50,015525;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:37,0s;38;214,000000;189,976825;214,000000;50,015638;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:38,0s;39;214,000000;190,186982;214,000000;50,019750;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:39,0s;40;214,000000;190,369898;214,000000;50,015746;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:40,0s;41;214,000000;190,615257;214,000000;50,016171;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:41,0s;42;214,000000;190,805537;214,000000;50,014070;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:42,0s;43;214,000000;190,976438;214,000000;50,016348;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:43,0s;44;214,000000;191,196667;214,000000;50,015028;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:44,0s;45;214,000000;191,270550;214,000000;50,016690;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:45,0s;46;214,000000;191,553390;214,000000;50,016459;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:46,0s;47;214,000000;191,853741;214,000000;50,017977;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:47,0s;48;214,000000;191,902435;214,000000;50,014099;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:48,0s;49;214,000000;192,186450;214,000000;50,014817;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:49,0s;50;214,000000;192,508271;214,000000;50,018249;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:50,0s;51;214,000000;192,592164;214,000000;50,012989;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:51,0s;52;214,000000;192,725981;214,000000;50,015662;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:52,0s;53;214,000000;192,948773;214,000000;50,013806;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:53,0s;54;214,000000;193,229244;214,000000;50,017658;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:54,0s;55;214,000000;193,439556;214,000000;50,013151;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:55,0s;56;214,000000;193,700517;214,000000;50,014150;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:56,0s;57;214,000000;193,786290;214,000000;50,013046;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:57,0s;58;214,000000;193,999449;214,000000;50,013319;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:58,0s;59;214,000000;194,142976;214,000000;50,012689;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:59,0s;60;214,000000;194,418309;214,000000;50,013816;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:00,0s;61;214,000000;194,588505;214,000000;50,015034;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:01,0s;62;214,000000;194,727482;214,000000;50,015155;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:02,0s;63;214,000000;195,033472;214,000000;50,010657;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:03,0s;64;214,000000;195,164484;214,000000;50,013106;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:04,0s;65;214,000000;195,405980;214,000000;50,013093;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:05,0s;66;214,000000;195,648910;214,000000;50,013960;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:06,0s;67;214,000000;195,757355;214,000000;50,013620;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:07,0s;68;214,000000;195,878037;214,000000;50,013922;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:08,0s;69;214,000000;196,304984;214,000000;50,011460;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:09,0s;70;214,000000;196,357366;214,000000;50,012097;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:10,0s;71;214,000000;196,575538;214,000000;50,015463;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:11,0s;72;214,000000;196,715156;214,000000;50,012469;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:12,0s;73;214,000000;197,049344;214,000000;50,014120;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:13,0s;74;214,000000;197,286628;214,000000;50,011866;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:14,0s;75;214,000000;197,294876;214,000000;50,010971;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:15,0s;76;214,000000;197,621557;214,000000;50,013093;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:16,0s;77;214,000000;197,722486;214,000000;50,011311;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:17,0s;78;214,000000;198,036350;214,000000;50,011022;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:18,0s;79;214,000000;198,141905;214,000000;50,009984;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:19,0s;80;214,000000;198,362846;214,000000;50,008818;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:20,0s;81;214,000000;198,575028;214,000000;50,010387;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:21,0s;82;214,000000;198,751710;214,000000;50,011434;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:22,0s;83;214,000000;199,041986;214,000000;50,010580;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:23,0s;84;214,000000;199,192197;214,000000;50,008992;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:24,0s;85;214,000000;199,509868;214,000000;50,009837;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:25,0s;86;214,000000;199,589843;214,000000;50,010190;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:26,0s;87;214,000000;199,775037;214,000000;50,007519;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:27,0s;88;214,000000;199,984665;214,000000;50,010622;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:28,0s;89;214,000000;200,218310;214,000000;50,010170;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:29,0s;90;214,000000;200,306255;214,000000;50,006366;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:30,0s;91;214,000000;200,658956;214,000000;50,011926;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:31,0s;92;214,000000;200,760740;214,000000;50,006647;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:32,0s;93;214,000000;201,058293;214,000000;50,008532;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:33,0s;94;214,000000;201,262529;214,000000;50,011263;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:34,0s;95;214,000000;201,482833;214,000000;50,007720;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:35,0s;96;214,000000;201,518381;214,000000;50,007125;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:36,0s;97;214,000000;201,736526;214,000000;50,009662;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:37,0s;98;214,000000;201,989948;214,000000;50,010042;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:38,0s;99;214,000000;202,206493;214,000000;50,008133;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:39,0s;100;214,000000;202,435609;214,000000;50,006693;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:40,0s;101;214,000000;202,542582;214,000000;50,006633;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:41,0s;102;214,000000;202,748999;214,000000;50,005886;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:42,0s;103;214,000000;203,046419;214,000000;50,005233;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:43,0s;104;214,000000;203,244339;214,000000;50,008343;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:44,0s;105;214,000000;203,216978;214,000000;50,008933;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:45,0s;106;214,000000;203,609738;214,000000;50,007553;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:46,0s;107;214,000000;203,937639;214,000000;50,005487;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:47,0s;108;214,000000;203,970536;214,000000;50,002676;1;1;0;1;0;0;1;1;1;8
