# YHDA_VERSION=0.6.0
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=PFK_ON_LOAD_DOWN
# STEP_NAME=PFK devrede — yük atma testi
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
0;235,000000;234,979222;235,000000;49,997823;1;1;0;1;0;0;1;1;0;8
1;235,000000;234,951621;235,000000;49,999159;1;1;0;1;0;0;1;1;0;8
2;235,000000;235,001540;235,000000;49,999438;1;1;0;1;0;0;1;1;0;8
3;235,000000;235,031414;235,000000;50,001755;1;1;0;1;0;0;1;1;0;8
4;235,000000;234,958054;235,000000;49,999648;1;1;0;1;0;0;1;1;0;8
5;235,000000;234,991380;235,000000;49,997038;1;1;0;1;0;0;1;1;0;8
6;235,000000;235,022337;235,000000;49,999949;1;1;0;1;0;0;1;1;0;8
7;235,000000;234,941318;235,000000;50,003131;1;1;0;1;0;0;1;1;0;8
8;235,000000;235,012553;235,000000;49,998453;1;1;0;1;0;0;1;1;0;8
9;235,000000;234,957819;235,000000;50,000253;1;1;0;1;0;0;1;1;0;8
10;235,000000;234,946381;235,000000;50,004586;1;1;0;1;0;0;1;1;0;8
11;235,000000;235,012980;235,000000;50,000218;1;1;0;1;0;0;1;1;0;8
12;235,000000;235,030780;235,000000;50,001596;1;1;0;1;0;0;1;1;0;8
13;235,000000;234,969654;235,000000;49,999328;1;1;0;1;0;0;1;1;0;8
14;235,000000;234,964256;235,000000;50,002404;1;1;0;1;0;0;1;1;0;8
15;235,000000;234,995538;235,000000;50,001481;1;1;0;1;0;0;1;1;0;8
16;235,000000;235,120180;235,000000;50,003405;1;1;0;1;0;0;1;1;0;8
17;235,000000;235,067787;235,000000;50,000494;1;1;0;1;0;0;1;1;0;8
18;235,000000;234,997142;235,000000;50,001064;1;1;0;1;0;0;1;1;0;8
19;235,000000;235,063019;235,000000;49,998476;1;1;0;1;0;0;1;1;0;8
20;235,000000;235,051350;235,000000;49,999726;1;1;0;1;0;0;1;1;0;8
21;235,000000;234,947465;235,000000;49,996403;1;1;0;1;0;0;1;1;0;8
22;235,000000;235,028180;235,000000;49,997556;1;1;0;1;0;0;1;1;0;8
23;235,000000;234,973583;235,000000;50,001233;1;1;0;1;0;0;1;1;0;8
24;235,000000;235,042685;235,000000;50,001120;1;1;0;1;0;0;1;1;0;8
25;235,000000;235,041472;235,000000;49,998784;1;1;0;1;0;0;1;1;0;8
26;235,000000;235,025711;235,000000;50,000689;1;1;0;1;0;0;1;1;0;8
27;235,000000;234,993141;235,000000;49,999784;1;1;0;1;0;0;1;1;0;8
28;235,000000;235,035378;235,000000;50,001060;1;1;0;1;0;0;1;1;0;8
29;235,000000;235,053499;235,000000;49,999524;1;1;0;1;0;0;1;1;0;8
30;211,000000;234,936519;235,000000;49,982786;1;1;0;1;0;0;1;1;0;8
31;211,000000;234,881419;235,000000;49,984544;1;1;0;1;0;0;1;1;0;8
32;211,000000;235,010010;235,000000;49,985427;1;1;0;1;0;0;1;1;0;8
33;211,000000;234,924895;235,000000;49,985260;1;1;0;1;0;0;1;1;0;8
34;211,000000;234,940579;211,000000;49,981571;1;1;0;1;0;0;1;1;0;8
35;211,000000;235,065141;211,000000;49,979680;1;1;0;1;0;0;1;1;0;8
36;211,000000;234,914091;211,000000;49,983547;1;1;0;1;0;0;1;1;0;8
37;211,000000;234,977380;211,000000;49,982666;1;1;0;1;0;0;1;1;0;8
38;211,000000;234,828399;211,000000;49,983556;1;1;0;1;0;0;1;1;0;8
39;211,000000;234,535497;211,000000;49,985479;1;1;0;1;0;0;1;1;0;8
40;211,000000;234,372091;211,000000;49,984125;1;1;0;1;0;0;1;1;0;8
41;211,000000;234,228315;211,000000;49,983324;1;1;0;1;0;0;1;1;0;8
42;211,000000;234,020408;211,000000;49,986619;1;1;0;1;0;0;1;1;0;8
43;211,000000;233,787078;211,000000;49,989093;1;1;0;1;0;0;1;1;0;8
44;211,000000;233,612438;211,000000;49,984902;1;1;0;1;0;0;1;1;0;8
45;211,000000;233,480957;211,000000;49,984714;1;1;0;1;0;0;1;1;0;8
46;211,000000;233,309800;211,000000;49,984825;1;1;0;1;0;0;1;1;0;8
47;211,000000;232,996051;211,000000;49,984733;1;1;0;1;0;0;1;1;0;8
48;211,000000;232,750643;211,000000;49,987807;1;1;0;1;0;0;1;1;0;8
49;211,000000;232,640245;211,000000;49,984149;1;1;0;1;0;0;1;1;0;8
50;211,000000;232,471996;211,000000;49,984725;1;1;0;1;0;0;1;1;0;8
51;211,000000;232,240755;211,000000;49,984798;1;1;0;1;0;0;1;1;0;8
52;211,000000;232,121919;211,000000;49,985075;1;1;0;1;0;0;1;1;0;8
53;211,000000;231,850394;211,000000;49,986898;1;1;0;1;0;0;1;1;0;8
54;211,000000;231,541779;211,000000;49,986566;1;1;0;1;0;0;1;1;0;8
55;211,000000;231,337972;211,000000;49,984418;1;1;0;1;0;0;1;1;0;8
56;211,000000;231,246685;211,000000;49,985127;1;1;0;1;0;0;1;1;0;8
57;211,000000;230,871726;211,000000;49,984129;1;1;0;1;0;0;1;1;0;8
58;211,000000;230,820120;211,000000;49,985405;1;1;0;1;0;0;1;1;0;8
59;211,000000;230,652458;211,000000;49,986305;1;1;0;1;0;0;1;1;0;8
60;211,000000;230,459612;211,000000;49,984990;1;1;0;1;0;0;1;1;0;8
61;211,000000;230,154653;211,000000;49,987136;1;1;0;1;0;0;1;1;0;8
62;211,000000;230,017781;211,000000;49,985610;1;1;0;1;0;0;1;1;0;8
63;211,000000;229,734453;211,000000;49,985297;1;1;0;1;0;0;1;1;0;8
64;211,000000;229,522624;211,000000;49,986311;1;1;0;1;0;0;1;1;0;8
65;211,000000;229,341266;211,000000;49,987231;1;1;0;1;0;0;1;1;0;8
66;211,000000;229,174089;211,000000;49,984273;1;1;0;1;0;0;1;1;0;8
67;211,000000;229,099022;211,000000;49,988268;1;1;0;1;0;0;1;1;0;8
68;211,000000;228,767564;211,000000;49,986544;1;1;0;1;0;0;1;1;0;8
69;211,000000;228,617733;211,000000;49,987251;1;1;0;1;0;0;1;1;0;8
70;211,000000;228,339833;211,000000;49,988664;1;1;0;1;0;0;1;1;0;8
71;211,000000;228,145021;211,000000;49,988227;1;1;0;1;0;0;1;1;0;8
72;211,000000;227,962744;211,000000;49,987584;1;1;0;1;0;0;1;1;0;8
73;211,000000;227,806472;211,000000;49,986226;1;1;0;1;0;0;1;1;0;8
74;211,000000;227,503379;211,000000;49,985960;1;1;0;1;0;0;1;1;0;8
75;211,000000;227,346813;211,000000;49,990536;1;1;0;1;0;0;1;1;0;8
76;211,000000;227,204758;211,000000;49,990662;1;1;0;1;0;0;1;1;0;8
77;211,000000;226,965219;211,000000;49,988849;1;1;0;1;0;0;1;1;0;8
78;211,000000;226,805053;211,000000;49,989224;1;1;0;1;0;0;1;1;0;8
79;211,000000;226,634166;211,000000;49,989419;1;1;0;1;0;0;1;1;0;8
80;211,000000;226,331590;211,000000;49,987454;1;1;0;1;0;0;1;1;0;8
81;211,000000;226,243687;211,000000;49,989752;1;1;0;1;0;0;1;1;0;8
82;211,000000;226,036431;211,000000;49,989673;1;1;0;1;0;0;1;1;0;8
83;211,000000;225,759739;211,000000;49,991050;1;1;0;1;0;0;1;1;0;8
84;211,000000;225,638916;211,000000;49,987465;1;1;0;1;0;0;1;1;0;8
85;211,000000;225,309015;211,000000;49,987850;1;1;0;1;0;0;1;1;0;8
86;211,000000;225,310252;211,000000;49,991013;1;1;0;1;0;0;1;1;0;8
87;211,000000;224,997742;211,000000;49,989762;1;1;0;1;0;0;1;1;0;8
88;211,000000;224,762605;211,000000;49,990313;1;1;0;1;0;0;1;1;0;8
89;211,000000;224,590967;211,000000;49,990682;1;1;0;1;0;0;1;1;0;8
90;211,000000;224,407329;211,000000;49,992001;1;1;0;1;0;0;1;1;0;8
91;211,000000;224,161328;211,000000;49,988399;1;1;0;1;0;0;1;1;0;8
92;211,000000;223,924504;211,000000;49,994331;1;1;0;1;0;0;1;1;0;8
93;211,000000;223,741864;211,000000;49,994142;1;1;0;1;0;0;1;1;0;8
94;211,000000;223,652408;211,000000;49,989585;1;1;0;1;0;0;1;1;0;8
95;211,000000;223,506684;211,000000;49,992514;1;1;0;1;0;0;1;1;0;8
96;211,000000;223,209968;211,000000;49,992730;1;1;0;1;0;0;1;1;0;8
97;211,000000;223,078349;211,000000;49,991431;1;1;0;1;0;0;1;1;0;8
98;211,000000;222,801772;211,000000;49,992255;1;1;0;1;0;0;1;1;0;8
99;211,000000;222,612423;211,000000;49,992390;1;1;0;1;0;0;1;1;0;8
100;211,000000;222,498650;211,000000;49,992577;1;1;0;1;0;0;1;1;0;8
101;211,000000;222,179608;211,000000;49,992180;1;1;0;1;0;0;1;1;0;8
102;211,000000;221,961293;211,000000;49,992985;1;1;0;1;0;0;1;1;0;8
103;211,000000;221,796271;211,000000;49,993552;1;1;0;1;0;0;1;1;0;8
104;211,000000;221,482322;211,000000;49,990332;1;1;0;1;0;0;1;1;0;8
105;211,000000;221,312175;211,000000;49,993350;1;1;0;1;0;0;1;1;0;8
106;211,000000;221,140053;211,000000;49,993025;1;1;0;1;0;0;1;1;0;8
107;211,000000;221,074606;211,000000;49,991177;1;1;0;1;0;0;1;1;0;8
108;211,000000;220,863826;211,000000;49,992835;1;1;0;1;0;0;1;1;0;8
109;211,000000;220,751074;211,000000;49,993311;1;1;0;1;0;0;1;1;0;8
110;211,000000;220,459480;211,000000;49,994730;1;1;0;1;0;0;1;1;0;8
111;211,000000;220,112756;211,000000;49,990947;1;1;0;1;0;0;1;1;0;8
112;211,000000;219,974994;211,000000;49,993415;1;1;0;1;0;0;1;1;0;8
113;211,000000;219,803206;211,000000;49,993454;1;1;0;1;0;0;1;1;0;8
114;211,000000;219,653325;211,000000;49,991349;1;1;0;1;0;0;1;1;0;8
115;211,000000;219,498211;211,000000;49,994527;1;1;0;1;0;0;1;1;0;8
116;211,000000;219,141315;211,000000;49,991530;1;1;0;1;0;0;1;1;0;8
117;211,000000;219,012309;211,000000;49,995834;1;1;0;1;0;0;1;1;0;8
118;211,000000;218,769448;211,000000;49,995195;1;1;0;1;0;0;1;1;0;8
119;211,000000;218,542985;211,000000;49,993658;1;1;0;1;0;0;1;1;0;8
120;211,000000;218,449971;211,000000;49,995597;1;1;0;1;0;0;1;1;0;8
121;211,000000;218,227458;211,000000;49,994286;1;1;0;1;0;0;1;1;0;8
