# YHDA_VERSION=0.6.2
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=PFK_ON_LOAD_UP
# STEP_NAME=PFK devrede — yük alma testi
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;195,000000;195,124526;195,000000;49,999222;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:01,0s;2;195,000000;195,012999;195,000000;49,999162;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:02,0s;3;195,000000;194,891020;195,000000;50,001126;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:03,0s;4;195,000000;194,930876;195,000000;49,996992;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:04,0s;5;195,000000;194,966510;195,000000;50,002355;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:05,0s;6;195,000000;195,023354;195,000000;49,999323;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:06,0s;7;195,000000;194,970473;195,000000;49,999455;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:07,0s;8;195,000000;195,010197;195,000000;49,998313;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:08,0s;9;195,000000;194,954363;195,000000;50,001569;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:09,0s;10;195,000000;194,940415;195,000000;50,001304;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:10,0s;11;195,000000;195,039157;195,000000;49,999093;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:11,0s;12;195,000000;194,993027;195,000000;50,002610;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:12,0s;13;195,000000;195,052517;195,000000;49,998324;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:13,0s;14;195,000000;194,972811;195,000000;50,000971;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:14,0s;15;195,000000;195,004978;195,000000;49,997426;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:15,0s;16;195,000000;194,867833;195,000000;49,998881;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:16,0s;17;195,000000;194,886333;195,000000;50,003089;1;1;0;1;0;0;1;1;0;8
