# YHDA_VERSION=0.6.2
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=LFC_SIGNAL_CHECK
# STEP_NAME=LFC/AGC sinyal, alarm ve durum bilgileri kontrolü
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;215,000000;215,003285;215,000000;49,999052;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:01,0s;2;215,000000;214,875588;215,000000;50,000042;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:02,0s;3;215,000000;214,977296;215,000000;49,999664;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:03,0s;4;215,000000;214,943158;215,000000;50,001181;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:04,0s;5;215,000000;215,031498;215,000000;49,999660;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:05,0s;6;215,000000;215,037779;215,000000;50,000148;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:06,0s;7;215,000000;215,026444;215,000000;50,000570;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:07,0s;8;215,000000;215,014348;215,000000;49,999917;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:08,0s;9;215,000000;214,995805;215,000000;49,999484;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:09,0s;10;215,000000;215,050886;215,000000;50,002116;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:10,0s;11;215,000000;214,919166;215,000000;50,002301;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:11,0s;12;215,000000;215,127338;215,000000;49,998845;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:12,0s;13;215,000000;215,078808;215,000000;50,000674;0;0;0;1;0;0;1;1;0;8
