# YHDA_VERSION=0.6.2
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=MAX_LOAD_DOWN
# STEP_NAME=Maksimum kapasite bölgesi — yük atma testi
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;240,000000;240,058186;240,000000;50,000118;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;240,000000;239,987415;240,000000;49,998851;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;240,000000;240,062086;240,000000;49,997471;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;240,000000;239,970187;240,000000;49,998114;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;240,000000;239,945819;240,000000;49,998679;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;240,000000;240,037003;240,000000;50,000979;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;240,000000;239,866764;240,000000;49,998134;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;240,000000;240,009722;240,000000;50,001595;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;240,000000;240,068169;240,000000;49,998319;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;240,000000;239,973062;240,000000;50,002674;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;240,000000;240,059703;240,000000;49,999749;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;240,000000;240,066613;240,000000;49,997984;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;240,000000;239,965821;240,000000;49,998329;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;240,000000;239,976536;240,000000;50,002810;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;240,000000;240,019066;240,000000;50,000921;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;240,000000;240,020550;240,000000;50,000599;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;240,000000;239,938823;240,000000;49,998717;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;240,000000;239,891053;240,000000;50,000102;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:18,0s;19;240,000000;240,123629;240,000000;49,996916;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:19,0s;20;240,000000;240,016832;240,000000;50,001965;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:20,0s;21;240,000000;240,028971;240,000000;49,997459;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:21,0s;22;240,000000;240,015548;240,000000;50,002453;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:22,0s;23;240,000000;239,909837;240,000000;49,999216;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:23,0s;24;240,000000;239,997882;240,000000;50,002263;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:24,0s;25;240,000000;240,104038;240,000000;50,000997;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:25,0s;26;240,000000;239,939540;240,000000;49,998818;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:26,0s;27;240,000000;240,015313;240,000000;49,995900;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:27,0s;28;240,000000;240,099525;240,000000;49,999448;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:28,0s;29;240,000000;239,956614;240,000000;50,000585;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:29,0s;30;240,000000;239,977142;240,000000;49,997253;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:30,0s;31;216,000000;239,947468;240,000000;49,982361;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:31,0s;32;216,000000;240,003501;240,000000;49,984188;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:32,0s;33;216,000000;239,941174;240,000000;49,981687;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:33,0s;34;216,000000;239,989134;240,000000;49,985082;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:34,0s;35;216,000000;240,016459;216,000000;49,982617;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:35,0s;36;216,000000;240,002154;216,000000;49,980917;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:36,0s;37;216,000000;239,952457;216,000000;49,983140;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:37,0s;38;216,000000;240,012850;216,000000;49,980758;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:38,0s;39;216,000000;240,014332;216,000000;49,984645;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:39,0s;40;216,000000;239,982862;216,000000;49,985799;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:40,0s;41;216,000000;239,971083;216,000000;49,986808;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:41,0s;42;216,000000;239,886207;216,000000;49,981102;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:42,0s;43;216,000000;239,812182;216,000000;49,984390;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:43,0s;44;216,000000;239,686272;216,000000;49,985295;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:44,0s;45;216,000000;239,542992;216,000000;49,982979;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:45,0s;46;216,000000;239,459849;216,000000;49,983285;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:46,0s;47;216,000000;239,446166;216,000000;49,983524;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:47,0s;48;216,000000;239,253148;216,000000;49,983399;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:48,0s;49;216,000000;239,279607;216,000000;49,985009;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:49,0s;50;216,000000;239,234075;216,000000;49,982575;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:50,0s;51;216,000000;239,033872;216,000000;49,982129;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:51,0s;52;216,000000;238,978533;216,000000;49,984545;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:52,0s;53;216,000000;238,895755;216,000000;49,983251;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:53,0s;54;216,000000;238,759838;216,000000;49,982656;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:54,0s;55;216,000000;238,824750;216,000000;49,983491;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:55,0s;56;216,000000;238,717697;216,000000;49,984353;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:56,0s;57;216,000000;238,563920;216,000000;49,984569;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:57,0s;58;216,000000;238,467724;216,000000;49,983869;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:58,0s;59;216,000000;238,324027;216,000000;49,980380;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:59,0s;60;216,000000;238,255847;216,000000;49,985156;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:00,0s;61;216,000000;238,213334;216,000000;49,984115;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:01,0s;62;216,000000;238,221255;216,000000;49,983589;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:02,0s;63;216,000000;237,951309;216,000000;49,986060;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:03,0s;64;216,000000;237,948345;216,000000;49,980203;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:04,0s;65;216,000000;237,861187;216,000000;49,985223;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:05,0s;66;216,000000;237,737754;216,000000;49,985684;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:06,0s;67;216,000000;237,656917;216,000000;49,984437;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:07,0s;68;216,000000;237,664061;216,000000;49,983703;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:08,0s;69;216,000000;237,598779;216,000000;49,982731;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:09,0s;70;216,000000;237,405840;216,000000;49,987249;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:10,0s;71;216,000000;237,437154;216,000000;49,987363;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:11,0s;72;216,000000;237,318346;216,000000;49,984681;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:12,0s;73;216,000000;237,345629;216,000000;49,984377;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:13,0s;74;216,000000;237,131753;216,000000;49,985771;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:14,0s;75;216,000000;237,110529;216,000000;49,985785;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:15,0s;76;216,000000;236,980766;216,000000;49,987629;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:16,0s;77;216,000000;236,815748;216,000000;49,984826;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:17,0s;78;216,000000;236,945627;216,000000;49,982163;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:18,0s;79;216,000000;236,780644;216,000000;49,984819;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:19,0s;80;216,000000;236,768406;216,000000;49,984953;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:20,0s;81;216,000000;236,682623;216,000000;49,986801;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:21,0s;82;216,000000;236,445420;216,000000;49,989713;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:22,0s;83;216,000000;236,351092;216,000000;49,982754;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:23,0s;84;216,000000;236,243400;216,000000;49,984715;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:24,0s;85;216,000000;236,236334;216,000000;49,987837;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:25,0s;86;216,000000;236,290154;216,000000;49,986730;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:26,0s;87;216,000000;236,086176;216,000000;49,984451;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:27,0s;88;216,000000;236,052586;216,000000;49,982802;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:28,0s;89;216,000000;235,972253;216,000000;49,987474;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:29,0s;90;216,000000;235,908747;216,000000;49,983507;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:30,0s;91;216,000000;235,806555;216,000000;49,986140;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:31,0s;92;216,000000;235,569675;216,000000;49,985971;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:32,0s;93;216,000000;235,531283;216,000000;49,985356;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:33,0s;94;216,000000;235,455665;216,000000;49,984042;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:34,0s;95;216,000000;235,385662;216,000000;49,989692;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:35,0s;96;216,000000;235,249123;216,000000;49,986440;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:36,0s;97;216,000000;235,204994;216,000000;49,989353;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:37,0s;98;216,000000;235,144873;216,000000;49,985686;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:38,0s;99;216,000000;235,051220;216,000000;49,987888;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:39,0s;100;216,000000;234,989662;216,000000;49,988693;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:40,0s;101;216,000000;234,946748;216,000000;49,988295;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:41,0s;102;216,000000;234,801742;216,000000;49,989861;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:42,0s;103;216,000000;234,874554;216,000000;49,988404;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:43,0s;104;216,000000;234,559292;216,000000;49,985276;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:44,0s;105;216,000000;234,555172;216,000000;49,987698;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:45,0s;106;216,000000;234,524120;216,000000;49,985552;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:46,0s;107;216,000000;234,437040;216,000000;49,985719;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:47,0s;108;216,000000;234,453559;216,000000;49,986540;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:48,0s;109;216,000000;234,227549;216,000000;49,988849;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:49,0s;110;216,000000;234,177877;216,000000;49,987451;1;1;0;1;0;0;1;1;1;8
