# YHDA_VERSION=0.7.2
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=MAX_LOAD_UP
# STEP_NAME=Maksimum kapasite bölgesi — yük alma testi
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.2
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;216,000000;216,037371;216,000000;49,998742;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;216,000000;215,986999;216,000000;50,001960;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;216,000000;216,074289;216,000000;49,998766;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;216,000000;215,896135;216,000000;49,999900;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;216,000000;216,116253;216,000000;50,000332;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;216,000000;216,082163;216,000000;49,999989;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;216,000000;215,974966;216,000000;49,999446;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;216,000000;215,983826;216,000000;49,999237;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;216,000000;215,997913;216,000000;49,996947;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;216,000000;215,966831;216,000000;49,999788;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;216,000000;216,071711;216,000000;49,999878;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;216,000000;215,854954;216,000000;49,997241;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;216,000000;215,992217;216,000000;50,000837;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;216,000000;215,950392;216,000000;50,003808;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;216,000000;215,934916;216,000000;49,999058;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;216,000000;215,969370;216,000000;50,000016;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;216,000000;216,007844;216,000000;49,999287;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;216,000000;215,991878;216,000000;49,999462;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:18,0s;19;216,000000;215,975068;216,000000;49,999894;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:19,0s;20;216,000000;216,019289;216,000000;49,998957;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:20,0s;21;216,000000;216,072510;216,000000;49,997507;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:21,0s;22;216,000000;215,937548;216,000000;50,000476;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:22,0s;23;216,000000;216,075145;216,000000;49,996537;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:23,0s;24;216,000000;216,038275;216,000000;49,999577;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:24,0s;25;216,000000;215,987647;216,000000;50,001280;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:25,0s;26;216,000000;216,060087;216,000000;50,001004;1;1;0;1;0;0;1;1;1;8
