# YHDA_VERSION=0.6.0
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=MIN_LOAD_DOWN
# STEP_NAME=Minimum kapasite bölgesi — yük atma testi
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
0;214,000000;213,996596;214,000000;50,003078;1;1;0;1;0;0;1;1;1;8
1;214,000000;213,978689;214,000000;49,999467;1;1;0;1;0;0;1;1;1;8
2;214,000000;214,006301;214,000000;50,000027;1;1;0;1;0;0;1;1;1;8
3;214,000000;214,068810;214,000000;49,999993;1;1;0;1;0;0;1;1;1;8
4;214,000000;213,962570;214,000000;49,999546;1;1;0;1;0;0;1;1;1;8
5;214,000000;213,974165;214,000000;50,000925;1;1;0;1;0;0;1;1;1;8
6;214,000000;214,023701;214,000000;49,997650;1;1;0;1;0;0;1;1;1;8
7;214,000000;214,061878;214,000000;50,001091;1;1;0;1;0;0;1;1;1;8
8;214,000000;213,983895;214,000000;49,997016;1;1;0;1;0;0;1;1;1;8
9;214,000000;213,955685;214,000000;49,996918;1;1;0;1;0;0;1;1;1;8
10;214,000000;214,037547;214,000000;49,998394;1;1;0;1;0;0;1;1;1;8
11;214,000000;213,935132;214,000000;50,002735;1;1;0;1;0;0;1;1;1;8
12;214,000000;214,034148;214,000000;50,000684;1;1;0;1;0;0;1;1;1;8
13;214,000000;214,035653;214,000000;49,999610;1;1;0;1;0;0;1;1;1;8
14;214,000000;214,053937;214,000000;50,002088;1;1;0;1;0;0;1;1;1;8
15;214,000000;214,021660;214,000000;49,998080;1;1;0;1;0;0;1;1;1;8
16;214,000000;213,984139;214,000000;50,003669;1;1;0;1;0;0;1;1;1;8
17;214,000000;214,114246;214,000000;50,002244;1;1;0;1;0;0;1;1;1;8
18;214,000000;214,030220;214,000000;49,997672;1;1;0;1;0;0;1;1;1;8
19;214,000000;213,999487;214,000000;49,998372;1;1;0;1;0;0;1;1;1;8
20;214,000000;213,958195;214,000000;50,000859;1;1;0;1;0;0;1;1;1;8
21;214,000000;214,126917;214,000000;49,998998;1;1;0;1;0;0;1;1;1;8
22;214,000000;214,003685;214,000000;50,000328;1;1;0;1;0;0;1;1;1;8
23;214,000000;213,942824;214,000000;50,000656;1;1;0;1;0;0;1;1;1;8
24;214,000000;214,045786;214,000000;50,002072;1;1;0;1;0;0;1;1;1;8
25;214,000000;213,942243;214,000000;49,994313;1;1;0;1;0;0;1;1;1;8
26;214,000000;214,001902;214,000000;50,000574;1;1;0;1;0;0;1;1;1;8
27;214,000000;213,929271;214,000000;49,998119;1;1;0;1;0;0;1;1;1;8
28;214,000000;213,995926;214,000000;50,000321;1;1;0;1;0;0;1;1;1;8
29;214,000000;214,004340;214,000000;50,000894;1;1;0;1;0;0;1;1;1;8
30;190,000000;213,920206;214,000000;49,984856;1;1;0;1;0;0;1;1;1;8
31;190,000000;214,028997;214,000000;49,980474;1;1;0;1;0;0;1;1;1;8
32;190,000000;213,968416;214,000000;49,985639;1;1;0;1;0;0;1;1;1;8
33;190,000000;213,902946;214,000000;49,984592;1;1;0;1;0;0;1;1;1;8
34;190,000000;213,919024;190,000000;49,984346;1;1;0;1;0;0;1;1;1;8
35;190,000000;214,092071;190,000000;49,983519;1;1;0;1;0;0;1;1;1;8
36;190,000000;213,909832;190,000000;49,982504;1;1;0;1;0;0;1;1;1;8
37;190,000000;214,017787;190,000000;49,982138;1;1;0;1;0;0;1;1;1;8
38;190,000000;214,028719;190,000000;49,983786;1;1;0;1;0;0;1;1;1;8
39;190,000000;214,079407;190,000000;49,985490;1;1;0;1;0;0;1;1;1;8
40;190,000000;213,913453;190,000000;49,979125;1;1;0;1;0;0;1;1;1;8
41;190,000000;213,911973;190,000000;49,985913;1;1;0;1;0;0;1;1;1;8
42;190,000000;213,753655;190,000000;49,984182;1;1;0;1;0;0;1;1;1;8
43;190,000000;213,724382;190,000000;49,982440;1;1;0;1;0;0;1;1;1;8
44;190,000000;213,595387;190,000000;49,983966;1;1;0;1;0;0;1;1;1;8
45;190,000000;213,459714;190,000000;49,983820;1;1;0;1;0;0;1;1;1;8
46;190,000000;213,362568;190,000000;49,980074;1;1;0;1;0;0;1;1;1;8
47;190,000000;213,384933;190,000000;49,984808;1;1;0;1;0;0;1;1;1;8
48;190,000000;213,387106;190,000000;49,982247;1;1;0;1;0;0;1;1;1;8
49;190,000000;213,096041;190,000000;49,984050;1;1;0;1;0;0;1;1;1;8
50;190,000000;213,026922;190,000000;49,983378;1;1;0;1;0;0;1;1;1;8
51;190,000000;213,055948;190,000000;49,983416;1;1;0;1;0;0;1;1;1;8
52;190,000000;212,908666;190,000000;49,985163;1;1;0;1;0;0;1;1;1;8
53;190,000000;212,912909;190,000000;49,984693;1;1;0;1;0;0;1;1;1;8
54;190,000000;212,751672;190,000000;49,982553;1;1;0;1;0;0;1;1;1;8
55;190,000000;212,751233;190,000000;49,983024;1;1;0;1;0;0;1;1;1;8
56;190,000000;212,634068;190,000000;49,986385;1;1;0;1;0;0;1;1;1;8
57;190,000000;212,442101;190,000000;49,984886;1;1;0;1;0;0;1;1;1;8
58;190,000000;212,407025;190,000000;49,983695;1;1;0;1;0;0;1;1;1;8
59;190,000000;212,276588;190,000000;49,983146;1;1;0;1;0;0;1;1;1;8
