# YHDA_VERSION=0.7.1
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=MIN_LOAD_UP
# STEP_NAME=Minimum kapasite bölgesi — yük alma testi
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;190,000000;190,071269;190,000000;50,000807;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;190,000000;190,037579;190,000000;50,000356;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;190,000000;189,900647;190,000000;49,998451;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;190,000000;190,063937;190,000000;49,999635;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;190,000000;190,029367;190,000000;49,995914;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;190,000000;189,979979;190,000000;50,002246;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;190,000000;189,940439;190,000000;50,002700;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;190,000000;190,092174;190,000000;50,001965;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;190,000000;189,836799;190,000000;50,000211;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;190,000000;190,037724;190,000000;49,998536;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;190,000000;190,040951;190,000000;49,998861;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;190,000000;190,108422;190,000000;49,998408;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;190,000000;190,008921;190,000000;49,999708;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;190,000000;189,908154;190,000000;49,999985;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;190,000000;189,988041;190,000000;49,999033;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;190,000000;190,007256;190,000000;49,997570;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;190,000000;189,926313;190,000000;49,998450;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;190,000000;189,927014;190,000000;50,001429;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:18,0s;19;190,000000;189,915589;190,000000;50,000839;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:19,0s;20;190,000000;190,036292;190,000000;49,999172;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:20,0s;21;190,000000;190,015059;190,000000;49,997081;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:21,0s;22;190,000000;189,953357;190,000000;49,997801;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:22,0s;23;190,000000;189,916373;190,000000;49,998039;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:23,0s;24;190,000000;189,962789;190,000000;50,001640;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:24,0s;25;190,000000;190,014566;190,000000;50,000567;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:25,0s;26;190,000000;189,978544;190,000000;49,996522;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:26,0s;27;190,000000;190,044769;190,000000;50,001488;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:27,0s;28;190,000000;189,906827;190,000000;49,999984;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:28,0s;29;190,000000;189,978961;190,000000;49,998199;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:29,0s;30;190,000000;190,063836;190,000000;49,998773;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:30,0s;31;214,000000;189,917337;190,000000;50,017355;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:31,0s;32;214,000000;190,025432;190,000000;50,014885;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:32,0s;33;214,000000;189,947263;190,000000;50,016274;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:33,0s;34;214,000000;190,034382;190,000000;50,018061;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:34,0s;35;214,000000;190,017869;214,000000;50,018535;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:35,0s;36;214,000000;189,987351;214,000000;50,017080;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:36,0s;37;214,000000;190,093888;214,000000;50,015649;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:37,0s;38;214,000000;189,924994;214,000000;50,017364;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:38,0s;39;214,000000;190,043213;214,000000;50,016717;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:39,0s;40;214,000000;190,109634;214,000000;50,015800;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:40,0s;41;214,000000;190,102049;214,000000;50,018889;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:41,0s;42;214,000000;190,142522;214,000000;50,017013;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:42,0s;43;214,000000;190,285015;214,000000;50,017336;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:43,0s;44;214,000000;190,394537;214,000000;50,015020;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:44,0s;45;214,000000;190,432377;214,000000;50,015563;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:45,0s;46;214,000000;190,453236;214,000000;50,015904;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:46,0s;47;214,000000;190,549553;214,000000;50,017695;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:47,0s;48;214,000000;190,679558;214,000000;50,014745;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:48,0s;49;214,000000;190,775743;214,000000;50,011669;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:49,0s;50;214,000000;190,773074;214,000000;50,015735;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:50,0s;51;214,000000;190,964920;214,000000;50,016476;0;1;0;1;0;0;1;1;1;8
