# YHDA_VERSION=0.7.2
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=PFK_ON_LOAD_DOWN
# STEP_NAME=PFK devrede — yük atma testi
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.2
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;235,000000;235,048765;235,000000;50,001883;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:01,0s;2;235,000000;235,027299;235,000000;49,997032;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:02,0s;3;235,000000;235,037529;235,000000;50,001347;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:03,0s;4;235,000000;234,961989;235,000000;49,998523;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:04,0s;5;235,000000;234,940604;235,000000;50,001916;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:05,0s;6;235,000000;235,037293;235,000000;49,996255;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:06,0s;7;235,000000;234,957545;235,000000;50,000117;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:07,0s;8;235,000000;234,986485;235,000000;50,001024;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:08,0s;9;235,000000;234,889749;235,000000;49,999552;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:09,0s;10;235,000000;234,940200;235,000000;50,002482;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:10,0s;11;235,000000;234,987697;235,000000;49,999466;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:11,0s;12;235,000000;235,023937;235,000000;50,000851;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:12,0s;13;235,000000;234,995371;235,000000;49,999899;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:13,0s;14;235,000000;235,026136;235,000000;49,999958;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:14,0s;15;235,000000;235,082502;235,000000;49,997169;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:15,0s;16;235,000000;235,074657;235,000000;49,998169;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:16,0s;17;235,000000;234,875092;235,000000;50,000313;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:17,0s;18;235,000000;234,999199;235,000000;49,996964;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:18,0s;19;235,000000;235,012363;235,000000;50,002783;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:19,0s;20;235,000000;234,959269;235,000000;49,999616;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:20,0s;21;235,000000;235,047776;235,000000;49,999556;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:21,0s;22;235,000000;235,024618;235,000000;49,999314;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:22,0s;23;235,000000;235,004466;235,000000;49,998675;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:23,0s;24;235,000000;235,050997;235,000000;49,999844;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:24,0s;25;235,000000;234,967775;235,000000;49,999745;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:25,0s;26;235,000000;235,097814;235,000000;49,997748;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:26,0s;27;235,000000;234,987107;235,000000;49,999524;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:27,0s;28;235,000000;235,021832;235,000000;49,999711;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:28,0s;29;235,000000;234,976414;235,000000;49,998812;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:29,0s;30;235,000000;234,994756;235,000000;49,997964;1;1;0;1;0;0;1;1;0;8
