# YHDA_VERSION=0.6.3
# TEST_SERVICE=SFK
# PLANT_TYPE=TES
# STEP_ID=PFK_ON_LOAD_UP
# STEP_NAME=PFK devrede — yük alma testi
# TESIS_ADI=YHDA Örnek TES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;195,000000;195,063817;195,000000;49,999530;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:01,0s;2;195,000000;194,969371;195,000000;50,000585;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:02,0s;3;195,000000;195,119213;195,000000;49,998895;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:03,0s;4;195,000000;194,859259;195,000000;49,998925;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:04,0s;5;195,000000;194,956583;195,000000;50,001252;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:05,0s;6;195,000000;195,000998;195,000000;49,999095;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:06,0s;7;195,000000;194,945281;195,000000;49,998744;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:07,0s;8;195,000000;195,098508;195,000000;49,998970;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:08,0s;9;195,000000;194,983755;195,000000;49,998596;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:09,0s;10;195,000000;195,013848;195,000000;49,998625;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:10,0s;11;195,000000;194,987242;195,000000;50,000364;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:11,0s;12;195,000000;194,948989;195,000000;49,997434;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:12,0s;13;195,000000;194,929848;195,000000;50,003002;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:13,0s;14;195,000000;195,000631;195,000000;50,000295;1;1;0;1;0;0;1;1;0;8
